word	female	male	unknown	total	skewness	pct_f	pct_m	chi2	p_value	pmi_f	pmi_m	pmi_u	century
meiga	1	3	0	4	-0.0743609263814875	1.1712344811431248e-05	1.359415994888596e-05	0.0	1.0	0.1037921747180928	0.2527890620594381	0.0	19th
extinto	3	2	0	5	0.5899179763907451	3.513703443429375e-05	9.062773299257306e-06	1.9047619047619049	0.1675462774886132	0.9792609120719926	-0.3758195973629359	0.0	19th
medroso	7	3	0	10	0.7155455458623672	8.198641368001875e-05	1.359415994888596e-05	7.912087912087912	0.0049105561621726	1.1334115918992511	-0.6635016698147169	0.0	19th
tolo	5	12	0	17	0.0370563563951643	5.856172405715624e-05	5.437663979554384e-05	3.751724137931035	0.0527530702775588	0.2663111042158678	0.1921644402430033	0.0	19th
comprometido	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
notado	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
erecto	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
mentiroso	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
probo	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
persuasivo	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
envolvido	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
suspeito	4	4	0	8	0.4420756510914419	4.684937924572499e-05	1.8125546598514613e-05	3.0	0.0832645166635504	0.7969393552780382	-0.1526760460487262	0.0	19th
governista	0	2	0	2	-1.0	0.0	9.062773299257306e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
imaginario	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
persistente	0	1	0	1	-1.0	0.0	4.531386649628653e-06	0.0	0.0	0.0	0.5404711345112191	0.0	19th
expedito	1	1	0	2	0.4420756510914419	1.1712344811431248e-05	4.531386649628653e-06	0.0	1.0	0.7969393552780382	-0.1526760460487262	0.0	19th
