filename	id	title	author	genre
obra_293	Possível e impossível Prosa:conto MdA 1867 masc 	Possível e impossível	Machado de Assis	conto
obra_294	Qual dos dois Prosa:conto MdA 1872 masc 	Qual dos dois	Machado de Assis	conto
obra_295	Quem conta um conto Prosa:conto MdA 1873 masc 	Quem conta um conto	Machado de Assis	conto
obra_296	Quem não quer ser lobo... Prosa:conto MdA 1872 masc 	Quem não quer ser lobo 	Machado de Assis	conto
obra_297	Questão de vaidade Prosa:conto MdA 1864 masc 	Questão de vaidade	Machado de Assis	conto
obra_298	Questões de maridos Prosa:conto MdA 1883 masc 	Questões de maridos	Machado de Assis	conto
obra_299	Quincas Borba Prosa:romance MdA 1886 realismo masc 	Quincas Borba	Machado de Assis	romance
obra_300	Ressurreição Prosa:romance MdA 1872 romantismo masc 	Ressurreição	Machado de Assis	romance
obra_301	Rui de Leão Prosa:conto MdA 1872 masc 	Rui de Leão	Machado de Assis	conto
obra_302	Sales Prosa:conto MdA 1887 masc 	Sales	Machado de Assis	conto
obra_303	Sem olhos Prosa:conto MdA 1876 masc 	Sem olhos	Machado de Assis	conto
obra_304	Silvestre Prosa:conto MdA 1877 masc 	Silvestre	Machado de Assis	conto
obra_305	Só Prosa:conto MdA 1885 masc 	Só	Machado de Assis	conto
obra_306	Suje-se gordo! Prosa:conto MdA 1906 masc 	Suje-se gordo!	Machado de Assis	conto
obra_307	Suplício de uma mulher Teatro:tragédia MdA 1865 masc francês, Emile de Gerardin e Alexandre Dumas Filho, 1865	Suplício de uma mulher	Machado de Assis	
obra_308	Tempo de crise Prosa:conto MdA 1873 masc 	Tempo de crise	Machado de Assis	conto
obra_309	Teoria do medalhão Prosa:conto MdA 1882 masc 	Teoria do medalhão	Machado de Assis	conto
obra_310	Terpsícore Prosa:conto MdA 1886 masc 	Terpsícore	Machado de Assis	conto
obra_311	To be or not to be Prosa:conto MdA 1876 masc 	To be or not to be	Machado de Assis	conto
obra_312	Três consequências Prosa:conto MdA 1883 masc 	Três consequências	Machado de Assis	conto
obra_313	Três tesouros perdidos Prosa:conto MdA 1858 masc 	Três tesouros perdidos	Machado de Assis	conto
obra_314	Trina e una Prosa:conto MdA 1884 masc 	Trina e una	Machado de Assis	conto
obra_315	Trio em Lá menor Prosa:conto MdA 1896 masc 	Trio em Lá menor	Machado de Assis	conto
obra_316	Troca de datas Prosa:conto MdA 1883 masc 	Troca de datas	Machado de Assis	conto
obra_317	Uma águia sem asas Prosa:conto MdA 1872 masc 	Uma águia sem asas	Machado de Assis	conto
obra_318	Uma carta Prosa:conto MdA 1884 masc 	Uma carta	Machado de Assis	conto
obra_319	Uma excursão milagrosa Prosa:conto MdA 1866 masc 	Uma excursão milagrosa	Machado de Assis	conto
obra_320	Um almoço Prosa:conto MdA 1877 masc 	Um almoço	Machado de Assis	conto
obra_321	Uma loureira Prosa:conto MdA 1872 masc 	Uma loureira	Machado de Assis	conto
obra_322	Um ambicioso Prosa:conto MdA 1877 masc 	Um ambicioso	Machado de Assis	conto
obra_323	Uma noite Prosa:conto MdA 1895 masc 	Uma noite	Machado de Assis	conto
